NPs,Capping,Core_size,DLS_size,Zeta_potential,Shape,MBC,Class,Family,Species
Ag,Capped,6.8,24.77,37.3,spherical,1,Gammaproteobacteria,Enterobacteriaceae,Salmonella paratyphi
Ag,Capped,6.8,24.77,37.3,spherical,1.5,Gammaproteobacteria,Enterobacteriaceae,Salmonella ferruch 
Ag,Capped,6.8,24.77,37.3,spherical,0.625,Gammaproteobacteria,Enterobacteriaceae,Salmonella Durham 
Ag,Capped,6.8,24.77,37.3,spherical,0.313,Gammaproteobacteria,Enterobacteriaceae,Salmonella Durham 
Ag,Capped,6.8,24.77,37.3,spherical,0.625,Gammaproteobacteria,Enterobacteriaceae,Salmonella Mississippi 
Ag,Capped,6.8,24.77,37.3,spherical,0.625,Gammaproteobacteria,Enterobacteriaceae,Salmonella Mississippi 
Ag,Capped,6.8,24.77,37.3,spherical,0.625,Gammaproteobacteria,Enterobacteriaceae,Salmonella Mississippi 
Ag,Capped,6.8,24.77,37.3,spherical,0.313,Gammaproteobacteria,Enterobacteriaceae,Salmonella Mississippi 
Ag,Capped,6.8,24.77,37.3,spherical,0.313,Gammaproteobacteria,Enterobacteriaceae,Salmonella Mississippi 
Ag,Capped,6.8,24.77,37.3,spherical,0.313,Gammaproteobacteria,Enterobacteriaceae,Salmonella Mississippi 
Ag,Capped,6.8,24.77,37.3,spherical,0.625,Gammaproteobacteria,Enterobacteriaceae,Salmonella Mississippi 
Ag,Capped,6.8,24.77,37.3,spherical,0.078,Gammaproteobacteria,Enterobacteriaceae,Salmonella Mississippi 
Ag,Capped,6.8,24.77,37.3,spherical,0.625,Gammaproteobacteria,Enterobacteriaceae,Salmonella Mississippi 
Ag,Capped,6.8,24.77,37.3,spherical,1.25,Gammaproteobacteria,Enterobacteriaceae,Salmonella Stanleyville
Ag,Capped,6.8,24.77,37.3,spherical,0.313,Gammaproteobacteria,Enterobacteriaceae,Salmonella Mississippi 
Ag,Capped,6.8,24.77,37.3,spherical,0.313,Gammaproteobacteria,Enterobacteriaceae,Salmonella Kottbus
Ag,Capped,6.8,24.77,37.3,spherical,1.25,Gammaproteobacteria,Enterobacteriaceae,Salmonella Bonariensis
Ag,Capped,6.8,24.77,37.3,spherical,0.625,Gammaproteobacteria,Enterobacteriaceae,Salmonella Allerton
Ag,Capped,6.8,24.77,37.3,spherical,0.625,Gammaproteobacteria,Enterobacteriaceae,Salmonella Enteritidis 
Ag,Capped,6.8,24.77,37.3,spherical,0.313,Gammaproteobacteria,Enterobacteriaceae,Salmonella Enteritidis 
Ag,Capped,8,24,20.1,spherical,0.313,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae
Ag,Capped,8,24,20.1,spherical,0.078,Bacilli,Staphylococcaceae,Staphylococcus epidermidis
Ag,Capped,8,24,20.1,spherical,15,Gammaproteobacteria,Moraxellaceae,Acinetobacter baumanni
Ag,Capped,8,24,20.1,spherical,12,Gammaproteobacteria,Xanthomonadaceae,Stenotrophomonas maltophilia
Ag,Capped,22.8,91.2,34.7,Spherical,24,Bacilli,Staphylococcaceae,Staphylococcus aureus
Ag,Capped,22.8,91.2,34.7,spherical,18,Bacilli,Streptococcaceae,Streptococcus mutans
Ag,Capped,22.8,91.2,34.7,spherical,1100,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli
Ag,Capped,22.8,91.2,34.7,Spherical,1100,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae
Ag,Capped,19.4,110.4,15.5,spherical,1400,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
Ag,Capped,19.4,110.4,15.5,spherical,1400,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Ag,Capped,19.4,110.4,15.5,spherical,133,Bacilli,Staphylococcaceae,Staphylococcus epidermidis 
Ag,Capped,19.4,110.4,15.5,spherical,75,Bacilli,Staphylococcaceae,Staphylococcus aureus
Ag,Capped,19.4,110.4,15.5,spherical,233,Bacilli,Enterococcaceae,Enterococcus faecalis
Ag,Capped,19.4,110.4,15.5,spherical,92,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae
Ag,Capped,35,44,26.3,spherical,83,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli
Ag,Capped,35,44,26.3,spherical,333,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae
Ag,Capped,35,44,26.3,spherical,10,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
Ag,Capped,35,44,26.3,spherical,10,Bacilli,Staphylococcaceae,Staphylococcus aureus
Ag,Capped,12,32.16,7.2,spherical,10,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli
Ag,Capped,12,32.16,7.2,spherical,10,Bacilli,Enterococcaceae,Enterococcus faecalis
Ag,Capped,12,32.16,7.2,spherical,10,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumonia
Ag,Capped,12,32.16,7.2,spherical,250,Bacilli,Staphylococcaceae,Staphylococcus aureus 
Ag,Capped,15,15.19,-43.1,spherical,500,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae
Ag,Capped,15,15.19,-43.1,spherical,250,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli
Ag,Capped,15,15.19,-43.1,spherical,250,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii
Ag,Capped,15,15.19,-43.1,spherical,125,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa
Ag,Capped,15,15.19,-43.1,spherical,125,Bacilli,Staphylococcaceae,Staphylococcus aureus 
Ag,Capped,15,15.19,-43.1,spherical,62,Bacilli,Staphylococcaceae,Staphylococcus haemolyticus
Ag,Capped,20,42.5,34.2,spherical ,125,Bacilli,Staphylococcaceae,Staphylococcus aureus 
Ag,Capped,20,42.5,34.2,spherical ,250,Bacilli,Staphylococcaceae,Staphylococcus epidermidis
Ag,Capped,20,42.5,34.2,spherical ,250,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa
Ag,Capped,20,42.5,34.2,spherical ,250,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae
Ag,Capped,20,42.5,34.2,spherical ,250,Gammaproteobacteria,Moraxellaceae,Acinetobacter baumanni
Ag,Capped,10,17.5,39.77,spherical,2,Bacilli,Bacillaceae,Bacillus cereus
Ag,Capped,10,17.5,39.77,spherical,4,Bacilli,Bacillaceae,Bacillus subtilis
Ag,Capped,10,17.5,39.77,spherical,6.5,Bacilli,Staphylococcaceae,Staphylococcus aureus
Ag,Capped,10,17.5,39.77,spherical,5,Actinomycetia,Micrococcaceae,Micrococcus luteus
Ag,Capped,10,17.5,39.77,spherical,7.25,Gammaproteobacteria,Enterobacteriaceae,Enterobacter cloacae
Ag,Capped,10,17.5,39.77,spherical,6.5,Gammaproteobacteria,Yersiniaceae,Serratia marcescens
Ag,Capped,10,17.5,39.77,spherical,10,Gammaproteobacteria,Enterobacteriaceae,Shigella dysentery
Ag,Uncapped,15,27,-15.3,spherical,5.5,Bacilli,Bacillaceae,Bacillus cereus
Ag,Uncapped,15,27,-15.3,spherical,9.5,Bacilli,Bacillaceae,Bacillus subtilis
Ag,Uncapped,15,27,-15.3,spherical,54,Bacilli,Staphylococcaceae,Staphylococcus aureus
Ag,Uncapped,15,27,-15.3,spherical,27,Actinomycetia,Micrococcaceae,Micrococcus luteus
Ag,Uncapped,15,27,-15.3,spherical,13.5,Gammaproteobacteria,Enterobacteriaceae,Enterobacter cloacae
Ag,Uncapped,15,27,-15.3,spherical,54,Gammaproteobacteria,Yersiniaceae,Serratia marcescens
Ag,Uncapped,15,27,-15.3,spherical,13.5,Gammaproteobacteria,Enterobacteriaceae,Shigella dysentery
Ag,Capped,13.57,77.03,-27,spherical,13.5,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii
Ag,Capped,13.57,77.03,-27,spherical,27,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Ag,Capped,13.57,77.03,-27,spherical,13.5,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
Ag,Capped,13.57,77.03,-27,spherical,13.5,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
