NPs,Capping,Core_size,DLS_size,Zeta_potential,Shape,MIC,Class,Family,Species
Ag,Capped,6.8,24.77,37.3,spherical,0.002,Gammaproteobacteria,Enterobacteriaceae,Salmonella paratyphi
Ag,Capped,6.8,24.77,37.3,spherical,0.313,Gammaproteobacteria,Enterobacteriaceae,Salmonella ferruch 
Ag,Capped,6.8,24.77,37.3,spherical,0.005,Gammaproteobacteria,Enterobacteriaceae,Salmonella Durham 
Ag,Capped,6.8,24.77,37.3,spherical,0.1,Gammaproteobacteria,Enterobacteriaceae,Salmonella Durham 
Ag,Capped,6.8,24.77,37.3,spherical,0.313,Gammaproteobacteria,Enterobacteriaceae,Salmonella Mississippi 
Ag,Capped,6.8,24.77,37.3,spherical,0.002,Gammaproteobacteria,Enterobacteriaceae,Salmonella Mississippi 
Ag,Capped,6.8,24.77,37.3,spherical,0.002,Gammaproteobacteria,Enterobacteriaceae,Salmonella Mississippi 
Ag,Capped,6.8,24.77,37.3,spherical,0.01,Gammaproteobacteria,Enterobacteriaceae,Salmonella Mississippi 
Ag,Capped,6.8,24.77,37.3,spherical,0.005,Gammaproteobacteria,Enterobacteriaceae,Salmonella Mississippi 
Ag,Capped,6.8,24.77,37.3,spherical,0.01,Gammaproteobacteria,Enterobacteriaceae,Salmonella Mississippi 
Ag,Capped,6.8,24.77,37.3,spherical,0.02,Gammaproteobacteria,Enterobacteriaceae,Salmonella Mississippi 
Ag,Capped,6.8,24.77,37.3,spherical,0.313,Gammaproteobacteria,Enterobacteriaceae,Salmonella Mississippi 
Ag,Capped,6.8,24.77,37.3,spherical,0.78,Gammaproteobacteria,Enterobacteriaceae,Salmonella Mississippi 
Ag,Capped,6.8,24.77,37.3,spherical,0.005,Gammaproteobacteria,Enterobacteriaceae,Salmonella Stanleyville
Ag,Capped,6.8,24.77,37.3,spherical,0.002,Gammaproteobacteria,Enterobacteriaceae,Salmonella Mississippi 
Ag,Capped,6.8,24.77,37.3,spherical,0.078,Gammaproteobacteria,Enterobacteriaceae,Salmonella Kottbus
Ag,Capped,6.8,24.77,37.3,spherical,0.002,Gammaproteobacteria,Enterobacteriaceae,Salmonella Bonariensis
Ag,Capped,6.8,24.77,37.3,spherical,0.002,Gammaproteobacteria,Enterobacteriaceae,Salmonella Allerton
Ag,Capped,6.8,24.77,37.3,spherical,0.02,Gammaproteobacteria,Enterobacteriaceae,Salmonella Enteritidis 
Ag,Capped,6.8,24.77,37.3,spherical,0.085,Gammaproteobacteria,Enterobacteriaceae,Salmonella Enteritidis 
Ag,Capped,8,24,20.1,spherical,14,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae
Ag,Capped,8,24,20.1,spherical,9,Bacilli,Staphylococcaceae,Staphylococcus epidermidis
Ag,Capped,8,24,20.1,spherical,17,Gammaproteobacteria,Moraxellaceae,Acinetobacter baumanni
Ag,Capped,8,24,20.1,spherical,13,Gammaproteobacteria,Xanthomonadaceae,Stenotrophomonas maltophilia
Ag,Capped,22.8,91.2,34.7,Spherical,800,Bacilli,Staphylococcaceae,Staphylococcus aureus
Ag,Capped,22.8,91.2,34.7,spherical,800,Bacilli,Streptococcaceae,Streptococcus mutans
Ag,Capped,22.8,91.2,34.7,spherical,1100,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli
Ag,Capped,22.8,91.2,34.7,Spherical,1100,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae
Ag,Capped,19.4,110.4,15.5,spherical,40,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
Ag,Capped,19.4,110.4,15.5,spherical,37,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Ag,Capped,19.4,110.4,15.5,spherical,38,Bacilli,Staphylococcaceae,Staphylococcus epidermidis 
Ag,Capped,19.4,110.4,15.5,spherical,40,Bacilli,Staphylococcaceae,Staphylococcus aureus
Ag,Capped,19.4,110.4,15.5,spherical,42,Bacilli,Enterococcaceae,Enterococcus faecalis
Ag,Capped,19.4,110.4,15.5,spherical,40,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae
Ag,Capped,35,44,26.3,spherical,6.25,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli
Ag,Capped,35,44,26.3,spherical,3.12,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae
Ag,Capped,35,44,26.3,spherical,3.12,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa 
Ag,Capped,35,44,26.3,spherical,12.5,Bacilli,Staphylococcaceae,Staphylococcus aureus
Ag,Capped,12,32.16,7.2,spherical,50,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli
Ag,Capped,12,32.16,7.2,spherical,12.5,Bacilli,Enterococcaceae,Enterococcus faecalis
Ag,Capped,12,32.16,7.2,spherical,25,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumonia
Ag,Capped,12,32.16,7.2,spherical,25,Bacilli,Staphylococcaceae,Staphylococcus aureus 
Ag,Capped,15,15.19,-43.1,spherical,4,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae
Ag,Capped,15,15.19,-43.1,spherical,8,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli
Ag,Capped,15,15.19,-43.1,spherical,4,Gammaproteobacteria,Moraxellaceae,Acinitobacter baumannii
Ag,Capped,15,15.19,-43.1,spherical,4,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa
Ag,Capped,15,15.19,-43.1,spherical,4,Bacilli,Staphylococcaceae,Staphylococcus aureus 
Ag,Capped,15,15.19,-43.1,spherical,4,Bacilli,Staphylococcaceae,Staphylococcus haemolyticus
Ag,Capped,20,42.5,34.2,spherical ,10,Bacilli,Staphylococcaceae,Staphylococcus aureus 
Ag,Capped,20,42.5,34.2,spherical ,10,Bacilli,Staphylococcaceae,Staphylococcus epidermidis
Ag,Capped,20,42.5,34.2,spherical ,10,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa
Ag,Capped,20,42.5,34.2,spherical ,10,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae
Ag,Capped,20,42.5,34.2,spherical ,5,Gammaproteobacteria,Moraxellaceae,Acinetobacter baumanni
Ag,Capped,10,17.5,39.77,spherical,56,Bacilli,Bacillaceae,Bacillus cereus
